Altmetric Attention Score,Publication Date,Number of Dimensions citations
2,1/2/2015,10
2,1/2/2015,52
3,1/2/2015,26
7,1/2/2015,2
12,1/2/2015,23
14,1/2/2015,53
35,1/2/2015,27
38,1/2/2015,38
52,1/2/2015,17
53,1/2/2015,58
156,1/2/2015,281
322,1/2/2015,24
2,1/6/2015,15
4,1/6/2015,17
5,1/6/2015,13
6,1/6/2015,0
12,1/6/2015,15
6,1/7/2015,42
10,1/8/2015,22
1,1/9/2015,18
4,1/9/2015,31
6,1/9/2015,3
16,1/9/2015,25
31,1/9/2015,37
5,1/13/2015,13
5,1/13/2015,5
15,1/13/2015,8
24,1/13/2015,41
1,1/19/2015,0
1,1/19/2015,1
2,1/19/2015,1
2,1/19/2015,9
6,1/19/2015,8
60,1/21/2015,40
3,1/26/2015,22
6,1/26/2015,9
7,1/26/2015,8
3,1/28/2015,4
8,1/28/2015,4
89,1/29/2015,69
8,2/2/2015,12
7,2/3/2015,50
18,2/3/2015,48
4,2/4/2015,26
11,2/5/2015,3
46,2/6/2015,26
29,2/11/2015,32
1,2/16/2015,15
1,2/16/2015,6
5,2/16/2015,5
8,2/16/2015,51
15,2/16/2015,18
46,2/16/2015,64
4,2/17/2015,21
36,2/17/2015,22
13,2/19/2015,15
9,2/23/2015,43
2,2/24/2015,10
4,2/24/2015,3
1,2/25/2015,24
3,2/26/2015,45
57,2/26/2015,91
4,3/4/2015,10
37,3/6/2015,58
3,3/9/2015,29
4,3/9/2015,8
5,3/9/2015,11
20,3/9/2015,56
51,3/9/2015,13
2,3/11/2015,0
5,3/11/2015,1
13,3/12/2015,22
21,3/12/2015,16
78,3/12/2015,59
34,3/13/2015,74
13,3/16/2015,55
18,3/16/2015,27
23,3/16/2015,78
26,3/16/2015,34
141,3/16/2015,75
34,3/18/2015,75
5,3/19/2015,8
12,3/19/2015,54
14,3/20/2015,19
33,3/20/2015,22
35,3/20/2015,33
48,3/20/2015,137
6,3/23/2015,3
26,3/23/2015,29
5,3/25/2015,58
6,3/27/2015,38
7,3/27/2015,10
7,3/27/2015,24
11,3/31/2015,7
14,3/31/2015,17
24,4/2/2015,33
3,4/7/2015,10
13,4/7/2015,21
60,4/7/2015,42
296,4/7/2015,55
8,4/9/2015,30
11,4/9/2015,8
20,4/10/2015,41
7,4/14/2015,11
1,4/17/2015,17
5,4/20/2015,11
11,4/20/2015,18
4,4/21/2015,17
5,4/24/2015,5
37,4/27/2015,69
5,4/28/2015,17
23,4/28/2015,69
25,4/28/2015,10
6,4/30/2015,8
53,4/30/2015,13
4,5/5/2015,14
16,5/5/2015,21
1,5/14/2015,26
10,5/14/2015,8
17,5/14/2015,79
63,5/18/2015,14
8,5/21/2015,4
12,5/21/2015,10
10,5/26/2015,59
11,5/26/2015,6
23,5/28/2015,31
