,Platform,Shear Wave Velocity (m/s),Region
1,Q-box,2.1,Center
2,Q-box,2.01,Center
3,Q-box,2.11,Center
4,Q-box,2.06,Center
5,Q-box,2.25,Center
6,Q-box,1.97,Center
7,Q-box,2.45,Center
8,Q-box,2.02,Center
9,Q-box,2.17,Center
10,Q-box,1.97,Center
11,ElastoGUI,1.98167,Center
12,ElastoGUI,1.89136,Center
13,ElastoGUI,2.01993,Center
14,ElastoGUI,1.97195,Center
15,ElastoGUI,2.16859,Center
16,ElastoGUI,1.8638,Center
17,ElastoGUI,2.35964,Center
18,ElastoGUI,1.89272,Center
19,ElastoGUI,2.03457,Center
20,ElastoGUI,1.86387,Center
21,Q-box,2.16,Full
22,Q-box,2.13,Full
23,Q-box,2.23,Full
24,Q-box,2.1,Full
25,Q-box,2.32,Full
26,Q-box,2.14,Full
27,Q-box,2.65,Full
28,Q-box,2.09,Full
29,Q-box,2.16,Full
30,Q-box,2,Full
31,ElastoGUI,2.03597,Full
32,ElastoGUI,2.00277,Full
33,ElastoGUI,2.12501,Full
34,ElastoGUI,1.95541,Full
35,ElastoGUI,2.19034,Full
36,ElastoGUI,2.01285,Full
37,ElastoGUI,2.53799,Full
38,ElastoGUI,1.96803,Full
39,ElastoGUI,2.03147,Full
40,ElastoGUI,1.87229,Full
